=== CHROMADB EXPORT ===

Collection: test_cache_19ee6a8e  |  Docs: 1
Collection: test_cache2_caf4ac1a  |  Docs: 1
Collection: test_cache_3e5d2465  |  Docs: 1
Collection: test_cache_46b40819  |  Docs: 1
Collection: test_cache2_0ebca407  |  Docs: 1
Collection: test_cache_e5cca6c0  |  Docs: 1
Collection: test_cache2_5f64157e  |  Docs: 1
Collection: test_cache2_140b3b51  |  Docs: 1
Collection: test_cache_5185d5c3  |  Docs: 1
Collection: test_cache_d66c1f40  |  Docs: 1
Collection: test_cache_013ac0dd  |  Docs: 1
Collection: test_cache_a56b1460  |  Docs: 1
Collection: test_cache_f4913c1a  |  Docs: 1
Collection: test_cache_e757ce5f  |  Docs: 1
Collection: test_cache_fca946ee  |  Docs: 1
Collection: search_cache  |  Docs: 42
Collection: test_cache_5a1b73fb  |  Docs: 1
Collection: test_cache_ed2aefd2  |  Docs: 1
Collection: test_cache_baafcc08  |  Docs: 1
Collection: test_cache_07f68e11  |  Docs: 1
Collection: test_cache_56744288  |  Docs: 1
Collection: test_cache_7e64ec47  |  Docs: 1
Collection: test_cache2_f8ec3f01  |  Docs: 1
Collection: test_cache2_1f14a1c0  |  Docs: 1
Collection: test_cache_5e8782b3  |  Docs: 1
Collection: test_cache2_098e6500  |  Docs: 1
Collection: test_cache2_d4c215f1  |  Docs: 1
Collection: test_cache2_902d926c  |  Docs: 1
Collection: test_cache_2dd295c0  |  Docs: 1
Collection: test_cache_1043825f  |  Docs: 1
Collection: test_cache2_406fb072  |  Docs: 1
Collection: test_cache2_857d44c5  |  Docs: 1
Collection: test_cache2_3fa20235  |  Docs: 1
Collection: test_cache_e2b6f359  |  Docs: 1
Collection: test_cache_2707741e  |  Docs: 1
Collection: test_cache2_d40fdea8  |  Docs: 1
Collection: test_cache_074b9138  |  Docs: 1
Collection: trading_insights  |  Docs: 0
Collection: test_cache2_412b0754  |  Docs: 1
Collection: test_cache2_109b47c6  |  Docs: 1
Collection: test_cache_83e29160  |  Docs: 1
Collection: test_cache_efc5faa3  |  Docs: 1
Collection: test_phase6  |  Docs: 2
Collection: test_cache2_ba9b9e52  |  Docs: 1
Collection: test_cache_ee53eb95  |  Docs: 1
Collection: test_cache_4f5bf9e0  |  Docs: 1
Collection: test_cache2_727fffe2  |  Docs: 1
Collection: test_cache2_1edfe0f3  |  Docs: 1
Collection: test_cache2_b664c395  |  Docs: 1
Collection: test_cache_9dc941b0  |  Docs: 1
Collection: test_cache_2c89e4cd  |  Docs: 1
Collection: test_cache2_abbdf0bc  |  Docs: 1
Collection: agent_memory  |  Docs: 1546
Collection: test_cache2_992fce3f  |  Docs: 1
Collection: test_cache2_4995e77f  |  Docs: 1
Collection: test_cache_f85b8187  |  Docs: 1
Collection: test_cache2_b54a023a  |  Docs: 1
Collection: e2e_test  |  Docs: 1
Collection: test_cache2_9e87bdd3  |  Docs: 1
Collection: test_cache2_ede9fc0b  |  Docs: 1
Collection: test_cache2_179f853b  |  Docs: 1
Collection: e2e_demo  |  Docs: 11
Collection: test_cache2_93a78bac  |  Docs: 1
Collection: test_cache2_1138818e  |  Docs: 1
Collection: test_cache_9c92e231  |  Docs: 1
Collection: test_cache_5aa9cb14  |  Docs: 1
Collection: test_cache_2aecf1e9  |  Docs: 1
Collection: test_cache_9857c3c2  |  Docs: 1
Collection: test_cache2_519d33b3  |  Docs: 1
Collection: test_cache2_0692f36d  |  Docs: 1
Collection: test_cache2_95118bdf  |  Docs: 1
Collection: test_cache2_3b9f5000  |  Docs: 1
Collection: test_cache2_1a7bb24a  |  Docs: 1
Collection: test_cache2_d40c727c  |  Docs: 1
